#separator:tab
#html:false
#tags column:3
¿Cuál es el umbral de Neer (1970) para considerar un segmento como "parte desplazada"?	Más de 1 cm de traslación o más de 45° de angulación.	MSA fractura-luxacion-hombro
¿Cuál es el umbral de desplazamiento del troquíter que indica osteosíntesis en el paciente general?	Más de 5 mm.	MSA fractura-luxacion-hombro
¿Cuál es el umbral de desplazamiento del troquíter en el deportista de lanzamiento o el trabajador con actividad por encima de la cabeza?	3 mm o más.	MSA fractura-luxacion-hombro
Según Hertel (2004), ¿qué valor de extensión metafisaria posteromedial predice isquemia cefálica?	Un valor menor de 8 mm adherido al fragmento cefálico.	MSA fractura-luxacion-hombro
Según Hertel (2004), ¿qué desplazamiento medial define a la bisagra medial como rota?	Un desplazamiento medial mayor de 2 mm entre cabeza y diáfisis.	MSA fractura-luxacion-hombro
¿Cuál es el tercer predictor mayor de isquemia cefálica de Hertel, además de la extensión metafisaria y la bisagra medial?	El trazo de fractura a nivel del cuello anatómico.	MSA fractura-luxacion-hombro
¿A qué distancia del borde lateral del acromion cruza el nervio axilar la cara profunda del deltoides?	A 5–7 cm.	MSA fractura-luxacion-hombro
¿Dónde se posiciona la placa bloqueada de húmero proximal respecto del surco bicipital?	5–8 mm lateral al surco bicipital [VERIFICAR contra AO Surgery Reference: posible confusión entre el offset lateral al surco y la distancia distal al troquíter].	MSA fractura-luxacion-hombro
¿Qué margen debe quedar entre el borde proximal de la placa y el vértice del troquíter?	Al menos 5 mm por debajo del vértice del troquíter.	MSA fractura-luxacion-hombro
¿Qué porcentaje de las luxaciones de hombro representa la luxatio erecta?	Aproximadamente 0,5 %.	MSA fractura-luxacion-hombro
¿En qué rango de abducción queda bloqueado el brazo en la luxatio erecta?	Entre 110° y 160°.	MSA fractura-luxacion-hombro
¿Cuál es el ángulo cérvico-diafisario normal del húmero proximal?	130–135°.	MSA fractura-luxacion-hombro
¿Por debajo de qué ángulo cérvico-diafisario el resultado funcional es malo?	Por debajo de 120°.	MSA fractura-luxacion-hombro
¿Cuál es la retroversión humeral fisiológica que se busca restituir en la reducción?	20–30° respecto del eje transepicondíleo.	MSA fractura-luxacion-hombro
¿Cuánto dura la inmovilización con cabestrillo en el adulto, y cuáles son las dos excepciones al plazo estándar?	3–4 semanas cuando se protege la articulación reducida o el foco óseo. Excepciones: 4–6 semanas si hubo reinserción tuberositaria (ORIF de troquíter, hemiartroplastia), y 1–3 semanas en la luxatio erecta pura reducida, en el extremo corto en el mayor de 60 años por el riesgo de rigidez.	MSA fractura-luxacion-hombro
¿Cuándo se espera el retorno al deporte de contacto o al trabajo pesado por encima de la cabeza?	Entre los 4 y los 6 meses.	MSA fractura-luxacion-hombro
¿Cuánto debe sobresalir el vértice de la cabeza humeral por encima del vértice del troquíter en el hombro normal?	5–8 mm.	MSA fractura-luxacion-hombro
En los signos indirectos de luxación posterior en la AP, ¿a partir de qué distancia el rim sign es positivo?	Distancia entre el borde medial de la cabeza y el reborde glenoideo anterior mayor de 6 mm.	MSA fractura-luxacion-hombro
¿Cuánto mide normalmente la banda de superposición semilunar (crescent sign) entre cabeza y glena en la AP?	Al menos 6 mm; su desaparición indica que la cabeza salió del plano glenoideo.	MSA fractura-luxacion-hombro
En los trazos con compromiso articular, ¿qué escalón y qué gap articular son aceptables?	Escalón menor de 2 mm y gap menor de 2 mm.	MSA fractura-luxacion-hombro
¿En qué observación de Codman se basó Neer para construir su clasificación?	En que el húmero proximal se fractura siguiendo las líneas de fusión de sus centros de osificación, generando cuatro segmentos: cabeza, troquíter, troquín y diáfisis.	MSA fractura-luxacion-hombro
En la clasificación de Neer (1970), ¿qué grupo corresponde a la fractura mínimamente desplazada?	El grupo I.	MSA fractura-luxacion-hombro
En la clasificación de Neer (1970), ¿qué grupo corresponde a la fractura-luxación?	El grupo VI.	MSA fractura-luxacion-hombro
¿Por qué el grupo VI de Neer (fractura-luxación) es una categoría propia y no una simple suma aritmética?	Porque el segmento articular está fuera de la articulación: perdió contacto con la glena, la cápsula se desgarró y los vasos que lo nutren pudieron avulsionarse.	MSA fractura-luxacion-hombro
En el código AO/OTA del húmero proximal (segmento 11), ¿qué criterio central separa los tipos A, B y C?	La relación del trazo con la superficie articular y el número de focos de fractura.	MSA fractura-luxacion-hombro
¿Qué tipo AO/OTA corresponde a la fractura articular con trazo de cuello anatómico?	El tipo 11C.	MSA fractura-luxacion-hombro
¿Cómo se expresa la luxación glenohumeral en la codificación AO/OTA vigente?	Como un calificador agregado al código base (por ejemplo, "11B con luxación anterior"), no como parte del tipo o grupo.	MSA fractura-luxacion-hombro
¿Qué pregunta responde Hertel (2004) que Neer (1970) no responde?	La viabilidad vascular (biología) de la cabeza humeral, es decir, si va a sobrevivir.	MSA fractura-luxacion-hombro
¿En cuántos patrones describe Hertel el trazo de fractura del húmero proximal mediante su descripción binaria?	Doce patrones posibles.	MSA fractura-luxacion-hombro
¿Sobre qué cinco relaciones binarias se construye la descripción de Hertel (2004)?	Existencia o no de trazo entre troquíter-cabeza, troquíter-diáfisis, troquín-cabeza, troquín-diáfisis y cabeza-diáfisis.	MSA fractura-luxacion-hombro
¿Cuáles son las cuatro direcciones posibles de la luxación glenohumeral?	Anterior, posterior, inferior (luxatio erecta) y superior.	MSA fractura-luxacion-hombro
¿Cuál es el mecanismo típico de la luxatio erecta?	Hiperabducción forzada con el cuello quirúrgico apoyado sobre el acromion como fulcro.	MSA fractura-luxacion-hombro
¿Qué proyección radiográfica no se puede omitir en la evaluación de una luxación o fractura-luxación de hombro?	La proyección axilar (o su sustituto, la Velpeau).	MSA fractura-luxacion-hombro
¿Qué proyección sustituye a la axilar cuando el paciente no tolera la abducción, sin requerir mover el brazo?	La proyección de Velpeau.	MSA fractura-luxacion-hombro
¿Qué riesgo concreto tiene la maniobra de reducción cerrada forzada en una fractura-luxación?	Puede completar el trazo de una fractura incompleta o desplazar el segmento articular hacia el espacio axilar, desprendiéndolo del último puente de partes blandas que lo irriga.	MSA fractura-luxacion-hombro
¿Qué maniobra de reducción está formalmente contraindicada en la fractura-luxación de hombro?	La maniobra de Kocher, porque usa el brazo como palanca sobre el cuello humeral.	MSA fractura-luxacion-hombro
¿Qué efecto tiene el bloqueo interescalénico sobre la exploración del nervio axilar?	La anula durante 12–24 horas, por lo que el examen neurológico debe documentarse siempre antes de bloquear.	MSA fractura-luxacion-hombro
¿Un pulso radial conservado descarta la lesión de la arteria axilar?	No; la circulación colateral escapular puede mantener el pulso distal con la arteria axilar completamente rota.	MSA fractura-luxacion-hombro
¿Qué parámetro objetivo obliga a pedir angio-TC aunque el pulso radial esté presente?	Un índice de presión braquio-braquial menor de 0,90.	MSA fractura-luxacion-hombro
¿Cuántos intentos de reducción cerrada se permiten antes de pasar a reducción abierta?	Dos intentos correctamente ejecutados bajo anestesia; tras el segundo fallido se suspende y se opera.	MSA fractura-luxacion-hombro
¿En qué plano tomográfico se mide la extensión metafisaria posteromedial de Hertel?	En el plano coronal, sobre el fragmento cefálico; medida en el plano axial el valor no es válido.	MSA fractura-luxacion-hombro
¿Cuál es la regla única de longitud de los tornillos cefálicos en la placa bloqueada de húmero proximal?	Deben engranar el hueso subcondral sin penetrar la articulación: punta a unos 2–4 mm por debajo de la superficie articular, es decir, un tornillo 2–4 mm más corto que la lectura del medidor, verificado con barrido rotacional completo bajo radioscopía.	MSA fractura-luxacion-hombro
¿Cuándo se solicita el electromiograma ante sospecha de lesión del nervio axilar?	A las 3–4 semanas, nunca antes.	MSA fractura-luxacion-hombro
¿Cuál es la arteria que hoy se reconoce como el aporte vascular dominante de la cabeza humeral en el adulto?	La arteria circunfleja humeral posterior, a través del arco arterial posteromedial.	MSA fractura-luxacion-hombro
